Contig	TXAS01	TXAS02	TXAS06	TXAS09	TXAS10	TXAS11	TXAS12	TXAS14	TXAS15	TXAS18	TXAS20	TXAS21	TXAS24	TXAS25	TXAS29	TXAS30	TXAS31	TXAS33	TXAS35	TXAS39	TXAS42	TXAS44	TXAS46	TXAS47	TXAS48	TXAS50	TXAS51	TXAS52	TXAS53	TXHC02	TXHC03	TXHC04	TXHC05	TXHC06	TXHC08	TXHC10	TXHC12	TXHC13	TXHC15	TXHC16	TXHC17	TXHC18	TXHC19	TXHC20	TXHC21	TXHC22	TXHC23	TXHC24	TXHC25	TXHC26	TXHC27	TXHC28	TXHC29	TXHC30	TXHC31	TXHC32	TXHC33	TXHC35
vOUT1291	13	1	0	359	111	331	49	279	48	1409	4996	68	44	707	28	77	19	15556	4103	61535	1193	7224	274	5426	54674	15	103	190	7163	5906	10341	49423	1503	2799	3568	483	40	1120	23495	4	488	177	89	119	35	129	423	477	103	61	14	3162	166	208	357	0	330	72017
vOUT1292	77	456	5	132	108	60	419	636	126	387	1777	236	10190	8964	325	1747	275	2670	272	191	5	9807	823	594	14624	0	21032	56	228	164	130	104	1597	244	403	4320	129	8754	0	0	1145	34841	276	940	23997	2	1025	13598	761	1186	3385	460	3133	700	1165	489	1107	531
vOUT1293	14218	18067	4723	17085	6913	11413	1873	15672	207	28488	41448	52875	24452	19795	1914	6740	29819	25492	18709	20302	26050	19357	126285	54592	568993	11330	19091	5821	57799	13285	49154	48307	18425	20599	13602	19595	8025	40061	26005	158	1441	37584	9270	2907	43591	4423	21121	13688	34098	985	687	40497	13437	37966	7204	1527	50483	18755
vOUT1294	917	157920	1132	852	7792	2645	420	4706	146	9666	13	76959	3984	339	569	1553	11340	3116	5407	2439	10932	1173	77	2358	9926	8	513	355	1788	1706	36277	1289	6327	7658	47704	7261	40	7550	3165	1113	2694	1054	882	612	2553	0	7350	3008	45	3365	9	869	353	1072	721	583	6978	711
vOUT1295	345	354	90	605	339	136	415	192	0	807	30209	2035	0	239	730	0	823	869	15	1638	378	909	4350	4636	11554	2	4728	3484	2196	927	1268	3770	7653	1351	883	415	202	4361	185	0	2213	5825	3495	1662	2309	1941	744	964	29	164	14	5417	887	3304	0	0	914	2251
vOUT1296	0	0	88	0	54	0	0	13	0	0	0	0	58	0	6	0	0	10	13	0	21	0	0	0	13439	0	0	3	0	0	0	6	11	0	34	4114	0	16	0	0	0	1	0	0	0	0	0	0	22	4	5	0	0	0	974	0	0	0
vOUT1297	0	322	5	955	263	1019	1321	1034	0	512	8207	2356	871	1483	421	0	0	756	436	1295	1	1360	1593	3930	27938	0	2612	598	673	1445	764	425	2581	2834	890	238	626	921	2889	6442	5923	5711	6555	3755	5460	0	86	706	1108	1148	119	4666	8124	7942	152	8471	109	331
vOUT1298	3	292914	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	55628	8	0	0	0	0	0	92	1	132	10	754	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1393	0	0	0	0	1
vOUT1299	1897	2292	0	1193	1017	760	0	2053	0	2426	8871	18136	3971	1355	9071	57000	11920	8160	838	7088	1866	3760	5319	20393	81561	164	616	33337	30226	1637	6791	2165	15903	18208	3653	1541	3408	2473	35964	0	10993	7845	5590	5170	8737	0	14460	5347	2292	1246	99	8463	6147	4965	1	1	10	1391
vOUT13	42449	34642	27936	785	5542	570	2750	4713	17	1273	1655	6113	0	1624	30	4067	4488	4035	586	8831	11943	1293	160	8846	905	0	1282	3	0	1313	124	2780	70	2080	9271	5578	3495	1484	4553	2	2	7090	238	566	189	0	1576	5876	166	1	8	929	2937	5356	2481	1286	1649	1252
vOUT130	54	7558	112	21106	184	4943	9	5322	0	2110	750	853	14872	10700	264	230	461	1413	5366	8379	65	11652	6396	1113	2697	62	1082	0	69048	11857	22844	12913	28927	11622	795	20407	252	7679	570	4	26	15438	2132	804	33365	197	7	2204	5965	22	30	4811	7931	1356	398	38	493	1859
vOUT1300	1	19	123	170	771	3263	79579	1605	746	4097	13883	14322	9465	4323	12	10423	290	4848	12757	11313	37	2330	93449	704	17420	12	2744	35673	2754	6472	1592	1461	881	9634	10980	1697	1572	2848	104	7144	45818	17844	1468	13851	3202	17	11	19255	390	1717	3109	11294	39642	27694	15530	68	781	92
vOUT1301	0	0	0	6	26	0	0	0	22	0	0	0	58	228	7	0	0	104	0	0	0	3	0	0	29574	0	2	29	0	21	15351	148	0	64	8	0	712	0	0	0	0	0	0	0	1	0	0	1546	0	122	0	140	0	74	0	0	0	0
vOUT1302	863	76	125	44	34457	0	4784	1358	3	819	16542	992	1306	635	1380	7231	840	13138	378	14855	14832	218	15	2643	14624	23	64	14776	331	1400	746	1001	63	20178	2291	3919	28155	2613	4767	600	894	225	989	84	44	19943	688	1331	47	0	657	1885	586	1015	3847	209	28973	1434
vOUT1303	0	216	293	3304	24	7	1215	200	0	867	5725	2445	631	513	213	0	0	739	313	757	0	723	702	2747	5042	0	3433	3580	1284	501	900	280	801	1708	64	225	415	389	0	2	2409	845	4	5107	1522	0	4912	2311	697	438	213	10574	8634	10046	8143	1	4677	791
