Contig,TXAS01,TXAS02,TXAS06,TXAS09,TXAS10,TXAS11,TXAS12,TXAS14,TXAS15,TXAS18,TXAS20,TXAS21,TXAS24,TXAS25,TXAS29,TXAS30,TXAS31,TXAS33,TXAS35,TXAS39,TXAS42,TXAS44,TXAS46,TXAS47,TXAS48,TXAS50,TXAS51,TXAS52,TXAS53,TXHC02,TXHC03,TXHC04,TXHC05,TXHC06,TXHC08,TXHC10,TXHC12,TXHC13,TXHC15,TXHC16,TXHC17,TXHC18,TXHC19,TXHC20,TXHC21,TXHC22,TXHC23,TXHC24,TXHC25,TXHC26,TXHC27,TXHC28,TXHC29,TXHC30,TXHC31,TXHC32,TXHC33,TXHC35
vOUT740,367,10,0,33,39,47,34,9,0,110,859,153,1918,498,437,3683,0,7,145,451,0,37,1561,43,15,0,162,395,13,500,10,72,207,350,65,80,133,95,12,0,254,68,67,105,308,0,429,243,442,81,497,681,14,7,1,8,21,595
vOUT741,4,69,132,269,15,13,116,0,18,1585,3748,57,97,2473,19901,17747,149,133,381,49,18,594,18,769,13,1500,14,324,1037,198,15,24,764,34,109,35,60,52,33,348,5,72,38,82,74,154,15,58,471,197,36,31,543,8,695,0,46,17
vOUT742,1,443,602,2496,55,566,55,143,16,760,411,971,2406,2226,1109,9984,1399,328,857,3234,319,171,934,1126,934,165,26,13,238,890,459,923,2329,537,220,363,2660,1666,204,0,3102,1338,4249,1080,690,43759,797,240,2113,81,4287,1179,8718,3672,749,132,5086,152
vOUT743,146,97,3,113,1,3,0,7,0,7144,120,32,615,3315,232,3995,25,8,99,4,10,53,106,13,258,57,9,64,93,109,0,2,3,94,2,0,8,43,1,1566,145,3,63,168,2,3,15,17,8,12,9,405,47,25,9,1,10,0
vOUT744,0,42,7,117,3,0,0,0,59737,1,0,7,3,193,12,85357,10,0,0,14,6,13444,208,391,20,68263,192,2,63,0,0,0,2,1,4,44,17,0,0,247,289,693,11,535,0,86,67,1830,1941,2897,746,283,2647,1591,570,7686,800,46
vOUT745,9,9,14,273,36,55,9,5,57,34,77,4,12,1483,59,3624,75,24,56,844,9,366,6,101,64,273,9,19,550,259,23,40,4,17,57,14,15,23,94,323,167,235,77,660,86,94,34,269,20,48,6,1980,23,140,301,326,21,578
vOUT746,827,922,1106,1001,1175,1590,30,834,0,3063,1561,3285,8028,3068,610,9082,1638,1595,855,2445,397,1901,5245,7457,7726,370,497,213,2851,1383,3624,2312,2302,1535,580,1035,550,1827,530,14,41,2439,586,379,2654,1212,731,1853,2915,97,55,1584,1073,2540,1994,77,2299,925
vOUT747,233,3,0,126,31,96,68,19,5,58,3328,0,50,56,47,3884,0,95,118,104,39,95,0,1,1555,1,0,0,1270,0,2,27,304,11,0,0,46,138,116,0,457,675,4,3,52,6,0,47,3,2,0,6,0,0,0,0,0,240
vOUT748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45911,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOUT749,150,642,337,48,39,90,12651,71,640,221,544,232,36,125,3394,33094,1233,39,21,474,6460,64,547,444,144,683,35,285,58,17,16,91,75,56,53,31,688,61,1644,1826,1227,219,2769,997,22,3031,274,93,208,18785,36,76,1077,435,789,15540,813,262
vOUT75,1329,5611,18281,891,2733,5556,3044,2407,16,984,0,6755,2528,940,239,1241,4325,507,960,5144,722,546,167,1326,478,83,507,0,289,3914,734,1400,5364,1109,4902,934,3081,3185,996,6625,4710,2992,1638,132,302,1113,962,707,1145,1696,679,141,535,478,162,356,2158,429
