	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
vOUT1101	2430.66106635187	-1.73161236058409	0.495919913074265	-3.4917177450077	0.000479925107768571	0.00732700141905502	down
vOUT313	404.534289688208	-5.19770150027611	1.49409642136914	-3.47882601546768	0.000503615440469004	0.00765404727992081	down
vOUT903	3340.69750566397	-2.31789787638342	0.667803684750299	-3.47092705433351	0.000518664876236096	0.00777766796631372	down
vOUT642	1399.32358452832	-1.83039567440824	0.530515892520546	-3.45021836332142	0.000560133279290718	0.00828898984353895	down
vOUT168	634.261907727008	-2.58654501886438	0.750407466137537	-3.44685405674031	0.000567154871067425	0.00835624687764843	down
vOUT1293	24096.9019851276	-1.260297952219	0.365818370318646	-3.4451467025049	0.000570749536350476	0.00837264754628916	down
vOUT177	4454.40158126792	-2.03617614587017	0.591392939282491	-3.44301734197329	0.000575262423907401	0.00840231782798083	down
vOUT421	3747.11128508931	-2.41133936448729	0.703705633156677	-3.42663075421255	0.000611119459324288	0.00874646738104277	down
vOUT598	182.313621152962	-2.16154386273687	0.631701207088643	-3.42178206797942	0.000622121573454673	0.00885670121871759	down
vOUT1047	91.8383711962221	-3.39291654501489	0.991964430668771	-3.42040141774784	0.000625287940823771	0.0088643761022664	down
vOUT457	948.665141755137	-2.59020089710118	0.760518614106696	-3.40583497767984	0.000659620371730815	0.00931196290468524	down
vOUT1344	2469.42988850272	-1.83243923570818	0.538221746283133	-3.404617610423	0.000662567620352399	0.00931459646278747	down
vOUT2976	19.4307450920622	-3.0789152552909	0.907632143678954	-3.39225012769046	0.00069321126976153	0.00963651819615424	down
vOUT1239	16513.8390022139	-1.75820157749634	0.518996214610128	-3.38769634151783	0.000704822499826848	0.00966695574965766	down
