	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
vOUT2786	161.758922146009	6.72894378279131	1.22606942741875	5.48822410241303	4.0599478033164e-08	3.42456597209738e-06	up
vOUT2141	120.199113105303	7.07292672719414	1.29221865399106	5.47347517801974	4.41294720164443e-08	3.63153264837763e-06	up
vOUT3233	610.399137312914	13.6722140222806	2.51440526946613	5.43755383760534	5.40170311663251e-08	4.33936817036145e-06	up
vOUT1942	1584.89647496796	3.89656308954795	0.722352628268936	5.39426720005959	6.88037673809535e-08	5.39869560798458e-06	up
vOUT1885	21.2562694358282	7.04444738786519	1.31609128047459	5.35255228294265	8.67222344667998e-08	6.65001861570415e-06	up
vOUT837	1030.34032987614	-2.71510849657324	0.509880616443368	-5.32498865226976	1.00959342119595e-07	7.56970711803366e-06	down
vOUT608	341.39812949516	-4.48253905654374	0.855552334883184	-5.23935108792121	1.61142214134596e-07	1.18194310976114e-05	down
vOUT1759	328.308911638461	8.38833594339607	1.60266856340453	5.23398045917668	1.6589799895845e-07	1.19093584784215e-05	up
vOUT65	329.090010369745	-3.47264921077893	0.664633791578317	-5.22490618861309	1.74243427072787e-07	1.2247860894658e-05	down
vOUT3275	18.6345998324652	6.84024695955222	1.31329857581859	5.20844770983525	1.90426998629662e-07	1.31122590484996e-05	up
vOUT3200	573.79322023922	7.49471867727432	1.4455912457601	5.18453518534803	2.1655426167782e-07	1.43265505666856e-05	up
vOUT2721	370.630008865085	4.71484530049967	0.909013403420981	5.18677203521513	2.13970383378851e-07	1.43265505666856e-05	up
vOUT1809	43.6587284074784	8.93862301599667	1.74111011151139	5.13386428399833	2.83852816874858e-07	1.84176808487648e-05	up
vOUT507	46.0726734726835	-3.42965804226296	0.66930382884607	-5.1242169765799	2.98776766814484e-07	1.90202417213598e-05	down
vOUT1754	271.043336114739	3.52345000405829	0.6891310237365	5.11288838072327	3.17269786125702e-07	1.98234862664467e-05	up
vOUT293	297.512959734117	6.73290504411358	1.32350058532745	5.08719461007854	3.63398886661912e-07	2.22928698835871e-05	up
vOUT2593	473.090954276416	4.16730869788525	0.824028619783839	5.05723781654384	4.25372646712533e-07	2.56287019644301e-05	up
vOUT2549	433.411595268145	4.1468381740445	0.828695588634726	5.00405484343945	5.61367746139013e-07	3.32290311486497e-05	up
vOUT3236	117.423956303809	3.06025626755856	0.612960212467521	4.99258549790573	5.95763263997779e-07	3.46569871160087e-05	up
vOUT1099	5549.476269417	-2.71644032800086	0.545048323079465	-4.98385228057076	6.23306723293731e-07	3.56446929558144e-05	down
vOUT1923	1864.95771812711	2.80724290040105	0.564341270218839	4.97437109164896	6.54598065305466e-07	3.68102312056774e-05	up
vOUT3031	28.9569704868874	7.50216648508708	1.5135393413975	4.95670398508446	7.16990862780707e-07	3.96578224757722e-05	up
vOUT2353	170.559937921879	7.31647637895332	1.47914050981785	4.94643769837276	7.5583903289859e-07	4.02490052716007e-05	up
vOUT1607	1600.42329335119	1.95131768817452	0.394360366894261	4.94805728968633	7.49578491108563e-07	4.02490052716007e-05	up
vOUT741	1384.72391391864	-3.04608806336141	0.616058096049193	-4.94448183198323	7.63466608589936e-07	4.02490052716007e-05	down
vOUT1787	53.8872803929697	7.55707265718515	1.53942324768798	4.90902853944482	9.15286589691441e-07	4.75104146710603e-05	up
vOUT344	278.420771829138	-5.18614492144148	1.05754805927126	-4.90393308935308	9.39364989814428e-07	4.80214769035436e-05	down
vOUT2848	624.294639106726	5.37094035527287	1.10174312783118	4.87494790718211	1.08837171724315e-06	5.44344583225607e-05	up
vOUT1383	324.206303747179	-11.0645518673245	2.27040860704003	-4.87337470137129	1.0970785909704e-06	5.44344583225607e-05	down
vOUT97	159.937729652757	-3.7379930210993	0.769333832472082	-4.85873994269574	1.18135180577611e-06	5.77663911983853e-05	down
vOUT722	150.370502179674	-3.32694487839702	0.689771144701566	-4.82325899532438	1.41231390015012e-06	6.8073529987236e-05	down
vOUT1852	512.242348982594	7.68261064114715	1.59537671339384	4.81554643279452	1.4679762253109e-06	6.97598842844927e-05	up
vOUT1741	426.83314108894	6.43008556122131	1.34373440631365	4.78523548329864	1.70786976272185e-06	8.00326747142156e-05	up
vOUT1634	20.0214433834825	7.7335209653786	1.6173023035133	4.78174114300022	1.73783370453051e-06	8.03212454669308e-05	up
vOUT3234	286.107854656481	3.67588939615825	0.771894915904227	4.7621629841313	1.91528891481356e-06	8.73268216024451e-05	up
vOUT1796	34.8219938031049	7.65395420027371	1.61459074563634	4.74049180633521	2.13200074633052e-06	9.59116069082556e-05	up
vOUT2797	62.1269619238343	-7.73891587107577	1.63474825586997	-4.73401078318163	2.20126023859376e-06	9.77243690133597e-05	down
vOUT910	825.577907158949	-2.79617920520902	0.591585564324763	-4.72658457851416	2.2832771255521e-06	0.000100049052228738	down
vOUT1135	396.685772480111	-6.02793784131534	1.27910408809509	-4.7126249516507	2.44546035447687e-06	0.000105781836359038	down
